ds,yhat,yhat_lower,yhat_upper
2022-01-14,45663.230389360375,41359.20122997439,50112.292679942715
2022-01-15,45380.94037776767,40807.55279045583,49754.96462389065
2022-01-16,45088.18887688276,40782.705982310334,48878.60686258984
2022-01-17,44797.988811300354,40348.471285596686,49108.56827167202
2022-01-18,44521.03209884427,40246.55557188376,48297.691980524796
2022-01-19,44332.6746673507,39968.61870833799,48502.60872059128
2022-01-20,43944.333909549554,39745.22260071921,48491.93493743339
2022-01-21,43711.66021374606,39299.054085701144,48152.1318484326
2022-01-22,43496.13433355134,38879.19786169531,47668.89298303086
2022-01-23,43299.60840866702,39149.948209723785,47624.328304721756
2022-01-24,43133.52059731236,38681.9338962398,47395.49476837868
2022-01-25,43006.26574783897,39109.40169520327,47343.02053643913
2022-01-26,42990.229056599965,38650.11047158538,47505.425328568665
2022-01-27,42793.250211279206,38355.782515575476,47090.767595195546
2022-01-28,42766.87816830917,38353.447983177524,46992.16034541683
2022-01-29,42768.06625189203,38433.97918347831,46939.55930026681
2022-01-30,42793.82295729638,38401.893698346255,47173.696753866876
2022-01-31,42850.5456386175,38415.080469242304,47042.70229176511
2022-02-01,42941.5164585478,38707.93709371399,47256.348230960066
2022-02-02,43134.06430822328,38909.80928931622,47228.71159272281
2022-02-03,43131.15685461336,38912.51622910911,47884.903437582834
2022-02-04,43279.77950910177,38705.30643051859,47554.83618004665
2022-02-05,43432.7477269234,38946.391115029954,47798.20020147984
2022-02-06,43583.46490808201,39316.057062679356,47692.4439688513
2022-02-07,43735.350218340536,39286.83376553173,47683.49142916005
2022-02-08,43889.41317482249,39515.020637753616,48023.65246928981
2022-02-09,44111.47656942136,40005.26057308504,48379.414033553614
2022-02-10,44103.81020984967,39709.9976219615,48152.93645652666
2022-02-11,44213.531098290536,39771.7046585333,48229.43437721157
2022-02-12,44294.41582097194,39944.117512395824,48582.903293652555
2022-02-13,44341.63733909258,39926.82833771185,48567.23078387998
2022-02-14,44361.1509794318,40177.88625846674,48739.163144511345
2022-02-15,44357.20749755073,39983.95190951074,48814.62250617523
2022-02-16,44399.49633753394,40041.14296743214,48640.33122660431
2022-02-17,44194.68360077821,39794.62427137583,48526.25812072136
2022-02-18,44094.70280492988,39701.476191045644,48133.07677788529
2022-02-19,43958.447030598145,39815.516078199,48045.686953897166
2022-02-20,43786.3777587062,39293.994359063996,48158.38960703552
2022-02-21,43589.778514386635,39383.39129806747,47718.56720310594
2022-02-22,43378.13462449271,39320.35427324604,47608.42465822862
2022-02-23,43226.1456716842,38667.31310204677,47196.994175945445
2022-02-24,42845.13854904432,38123.446030301486,47063.10463219776
2022-02-25,42591.24242963169,38304.71818964361,47211.17168696583
2022-02-26,42326.97723753133,37739.78791431875,46653.21111239269
2022-02-27,42055.773588223405,37699.119361735626,46521.288761310854
2022-02-28,41791.15458441706,37611.8870352794,46245.904379670006
2022-03-01,41544.06258997493,37514.38783795087,46031.36577885914
2022-03-02,41389.83887814775,37164.2470285092,45728.22979004281
2022-03-03,41039.62483507292,36573.93867962883,45353.44346164538
2022-03-04,40848.54625436159,36568.551330340284,45035.5602729267
2022-03-05,40677.33197084593,36791.099699033504,45096.465548351705
2022-03-06,40583.85802181226,36396.880217866026,44569.69343130298
2022-03-07,40521.47577063476,36068.516898259346,44689.36558823483
2022-03-08,40497.34630156979,36045.378734467624,44934.165563471164
2022-03-09,40582.54557584355,35999.62588089372,44763.204347752944
2022-03-10,40483.5768782206,36356.867025416606,45031.887826390426
2022-03-11,40550.67499687775,36327.18457829495,44817.216272335056
2022-03-12,40639.550188438494,36369.774561109836,45041.01753534511
2022-03-13,40746.0856877935,36516.11483005454,45060.67294370671
2022-03-14,40875.714382789,36553.9686117326,45202.42021509892
2022-03-15,41030.952582506296,36513.43824847161,45667.34316412086
2022-03-16,41278.593294822356,36957.35307617595,45689.42157864627
2022-03-17,41321.3220752076,37132.61788886921,45592.63698436084
2022-03-18,41506.111376340596,37330.40373693577,45618.673221902696
2022-03-19,41686.03920327474,37359.87810290315,45694.568047737295
2022-03-20,41855.044018840854,37490.54553720451,46204.00997466046
2022-03-21,42017.340182473825,37627.47339510305,46377.882465649396
2022-03-22,42174.97102494242,38138.91669003975,46539.82222080528
2022-03-23,42395.00167745537,37362.81978755163,46703.19658487178
2022-03-24,42381.114952801276,37788.412784904176,46486.21100492757
2022-03-25,42481.96696600123,38185.79609016965,46962.517126560124
2022-03-26,42552.94955439904,38150.1431881139,46676.531957575244
2022-03-27,42590.87315603449,38243.29389705292,46790.181507359426
2022-03-28,42603.29655202774,38284.497993266756,46908.222040594366
2022-03-29,42595.98304500653,38225.28341113313,46626.18372393718
2022-03-30,42639.987938167935,38217.73196831752,46919.10177366338
2022-03-31,42443.14355794353,38112.68632023266,46446.08412308606
2022-04-01,42358.30156997405,38010.971316177915,46380.8377749554
2022-04-02,42244.98274267063,38010.03225452527,46938.88688513615
2022-04-03,42103.95085882367,37988.30656427232,46489.43124638665
2022-04-04,41946.4400870976,37514.48917898413,46380.77522224502
2022-04-05,41781.518077773435,37698.59464140442,45943.00645129862
2022-04-06,41683.09205431152,37662.205249588944,45907.04711646614
2022-04-07,41361.32620212117,37244.32270576426,45604.466850565565
2022-04-08,41170.83176128233,37090.20153574587,45880.74329940362
2022-04-09,40972.28119179318,36597.36671014301,45171.411481999945
2022-04-10,40766.96385474665,36358.71763322477,45350.514733331715
2022-04-11,40566.01277750908,36106.82204326831,44847.305970401285
2022-04-12,40377.78453511124,35954.46014727407,44668.69677211828
2022-04-13,40274.89881075713,35885.265438431794,44587.08583374111
2022-04-14,39965.70477663237,35394.86986854332,44292.213742095715
2022-04-15,39802.534127249055,35658.58311275345,44235.96319162904
2022-04-16,39643.3901935257,35460.68407566237,44498.34214017138
2022-04-17,39486.588332756546,35395.66801973061,43864.022935734734
2022-04-18,39340.074672459654,34927.70953528895,43468.22991802829
2022-04-19,39208.90258043098,35018.47355417969,43313.63923079172
2022-04-20,39162.37067015383,34959.77836437353,43403.07093532084
2022-04-21,38905.598217988925,34542.26013278334,42902.59194533175
2022-04-22,38787.83759050186,34571.200660717244,43162.55118525467
2022-04-23,38664.28558809784,34557.36868894865,42985.12407979152
2022-04-24,38530.79148299802,34027.623846822535,42798.0477396043
2022-04-25,38393.24425788051,34272.74238940724,42642.96798142099
2022-04-26,38255.10514024552,33725.8934790738,42354.06886361904
2022-04-27,38184.58783970313,33775.93488363335,42521.5056036319
2022-04-28,37886.24986230813,33665.83371214212,42484.06486440139
2022-04-29,37709.351455840544,33416.99763160513,41816.09888755164
2022-04-30,37509.62890977676,32974.22916276778,41739.12850440979
2022-05-01,37283.995342629234,33268.35761202977,41538.975336207695
2022-05-02,37039.89468338216,32706.2117863379,41341.03663026798
2022-05-03,36782.78756856991,32704.766539928012,41250.504786205114
2022-05-04,36583.273042503504,32360.148872368394,40797.95266973138
2022-05-05,36148.611227578534,31587.72567718972,40365.66501459239
2022-05-06,35831.005569177425,31581.869261523305,39997.79041011249
2022-05-07,35489.293626118204,31136.226137514794,39917.0183391152
